"";"verbatimIdentification";"scientificName";"ScientificName2010";"ScientificName2018";"BirdTree";"tip.label"
"1";"Anas platyrhynchos";"Anas platyrhynchos";"Anas platyrhynchos";"Anas platyrhynchos";"Anas platyrhynchos";"Anas_platyrhynchos"
"2";"Corvus corax";"Corvus corax";"Corvus corax";"Corvus corax";"Corvus corax";"Corvus_corax"
"3";"Loxia curvirostra";"Loxia curvirostra";"Loxia curvirostra";"Loxia curvirostra";"Loxia curvirostra";"Loxia_curvirostra"
"4";"Troglodytes troglodytes";"Troglodytes troglodytes";"Troglodytes troglodytes";"Troglodytes troglodytes";"Troglodytes troglodytes";"Troglodytes_troglodytes"
"5";"Troglodytes troglodytes";"Troglodytes troglodytes";"Troglodytes troglodytes";"Troglodytes troglodytes";"Troglodytes troglodytes";"Troglodytes_troglodytes"
"6";"Troglodytes troglodytes";"Troglodytes troglodytes";"Troglodytes troglodytes";"Troglodytes troglodytes";"Troglodytes troglodytes";"Troglodytes_troglodytes"
"7";"Hirundo rustica";"Hirundo rustica";"Hirundo rustica";"Hirundo rustica";"Hirundo rustica";"Hirundo_rustica"
"8";"Gallinula chloropus";"Gallinula chloropus";"Gallinula chloropus";"Gallinula chloropus";"Gallinula chloropus";"Gallinula_chloropus"
"9";"Gallinula chloropus";"Gallinula chloropus";"Gallinula chloropus";"Gallinula chloropus";"Gallinula chloropus";"Gallinula_chloropus"
"10";"Asio otus";"Asio otus";"Asio otus";"Asio otus";"Asio otus";"Asio_otus"
"11";"Accipiter gentilis";"Accipiter gentilis";"Accipiter gentilis";"Accipiter gentilis";"Accipiter gentilis";"Accipiter_gentilis"
"12";"Falco peregrinus";"Falco peregrinus";"Falco peregrinus";"Falco peregrinus";"Falco pelegrinoides";"Falco_pelegrinoides"
"13";"Falco peregrinus";"Falco peregrinus";"Falco peregrinus";"Falco peregrinus";"Falco peregrinus";"Falco_peregrinus"
"14";"Tyto alba";"Tyto alba";"Tyto alba";"Tyto alba";"Tyto alba";"Tyto_alba"
"15";"Circus cyaneus";"Circus cyaneus";"Circus cyaneus";"Circus cyaneus";"Circus cyaneus";"Circus_cyaneus"
"16";"Circus cyaneus";"Circus cyaneus";"Circus cyaneus";"Circus cyaneus";"Circus cyaneus";"Circus_cyaneus"
"17";"Riparia riparia";"Riparia riparia";"Riparia riparia";"Riparia riparia";"Riparia riparia";"Riparia_riparia"
"18";"Riparia riparia";"Riparia riparia";"Riparia riparia";"Riparia riparia";"Riparia riparia";"Riparia_riparia"
"19";"Anas strepera";"Mareca strepera";"Anas strepera";"Mareca strepera";"Anas strepera";"Anas_strepera"
"20";"Anas crecca";"Anas crecca";"Anas crecca";"Anas crecca";"Anas crecca";"Anas_crecca"
"21";"Chlidonias niger";"Chlidonias niger";"Chlidonias niger";"Chlidonias niger";"Chlidonias niger";"Chlidonias_niger"
"22";"Anas clypeata";"Spatula clypeata";"Anas clypeata";"Spatula clypeata";"Anas clypeata";"Anas_clypeata"
"23";"Bucephala clangula";"Bucephala clangula";"Bucephala clangula";"Bucephala clangula";"Bucephala clangula";"Bucephala_clangula"
"24";"Mergus merganser";"Mergus merganser";"Mergus merganser";"Mergus merganser";"Mergus merganser";"Mergus_merganser"
"25";"Anas acuta";"Anas acuta";"Anas acuta";"Anas acuta";"Anas acuta";"Anas_acuta"
"26";"Asio flammeus";"Asio flammeus";"Asio flammeus";"Asio flammeus";"Asio flammeus";"Asio_flammeus"
