"";"verbatimIdentification";"introduced"
"1";"Baeolophus bicolor";0
"2";"Junco hyemalis";0
"3";"Corvus brachyrhynchos";0
"4";"Cathartes aura";0
"5";"Toxostoma rufum";0
"6";"Icterus galbula";0
"7";"Dumetella carolinensis";0
"8";"Piranga olivacea";0
"9";"Dendroica pensylvanica";0
"10";"Passer domesticus";1
"11";"Tyrannus tyrannus";0
"12";"Troglodytes aedon";0
"13";"Setophaga ruticilla";0
"14";"Hylocichla mustelina";0
"15";"Catharus fuscescens";0
"16";"Vireo gilvus";0
"17";"Carpodacus mexicanus";0
"18";"Buteo jamaicensis";0
"19";"Cyanocitta cristata";0
"20";"Colaptes auratus";0
"21";"Turdus migratorius";0
"22";"Mimus polyglottos";0
"23";"Empidonax alnorum";0
"24";"Pheucticus ludovicianus";0
"25";"Seiurus aurocapilla";0
"26";"Pipilo erythrophthalmus";0
"27";"Melospiza georgiana";0
"28";"Vireo olivaceus";0
"29";"Empidonax minimus";0
"30";"Hirundo rustica";0
"31";"Tachycineta bicolor";0
"32";"Dryocopus pileatus";0
"33";"Vermivora pinus";0
"34";"Quiscalus quiscula";0
"35";"Dendroica petechia";0
"36";"Passerina cyanea";0
"37";"Empidonax traillii";0
"38";"Progne subis";0
"39";"Sturnus vulgaris";1
"40";"Dolichonyx oryzivorus";0
"41";"Sturnella magna";0
"42";"Columba livia";0
"43";"Megascops asio";0
"44";"Spizella pusilla";0
"45";"Picoides pubescens";0
"46";"Empidonax virescens";0
"47";"Geothlypis trichas";0
"48";"Dendroica fusca";0
"49";"Passerculus sandwichensis";0
"50";"Contopus virens";0
"51";"Dendroica magnolia";0
"52";"Sphyrapicus varius";0
"53";"Molothrus ater";0
"54";"Sayornis phoebe";0
"55";"Wilsonia citrina";0
"56";"Myiarchus crinitus";0
"57";"Carpodacus purpureus";0
"58";"Coccyzus americanus";0
"59";"Seiurus motacilla";0
"60";"Sitta canadensis";0
"61";"Zenaida macroura";0
"62";"Oporornis philadelphia";0
"63";"Megaceryle alcyon";0
"64";"Chaetura pelagica";0
"65";"Riparia riparia";0
"66";"Spinus tristis";0
"67";"Poecile atricapillus";0
"68";"Melospiza melodia";0
"69";"Dendroica caerulescens";0
"70";"Dendroica coronata";0
"71";"Spizella passerina";0
"72";"Melanerpes carolinus";0
"73";"Sialia sialis";0
"74";"Falco sparverius";0
"75";"Certhia americana";0
"76";"Sitta carolinensis";0
"77";"Charadrius vociferus";0
"78";"Archilochus colubris";0
"79";"Meleagris gallopavo";0
"80";"Dendroica virens";0
"81";"Agelaius phoeniceus";0
"82";"Aix sponsa";0
"83";"Butorides virescens";0
"84";"Branta canadensis";0
"85";"Ardea herodias";0
"86";"Buteo platypterus";0
"87";"Cardinalis cardinalis";0
"88";"Bonasa umbellus";0
"89";"Anas platyrhynchos";0
"90";"Bombycilla cedrorum";0
"91";"Picoides villosus";0
"92";"Vireo solitarius";0
"93";"Icterus spurius";0
"94";"Accipiter cooperii";0
"95";"Seiurus noveboracensis";0
"96";"Troglodytes troglodytes";0
"97";"Catharus guttatus";0
"98";"Coccyzus erythropthalmus";0
"99";"Stelgidopteryx serripennis";0
"100";"Buteo lineatus";0
"101";"Accipiter gentilis";0
"102";"Gallinago delicata";0
"103";"Protonotaria citrea";0
"104";"Scolopax minor";0
"105";"Accipiter striatus";0
"106";"Actitis macularius";0
"107";"Anas rubripes";0
"108";"Fulica americana";0
"109";"Circus cyaneus";0
"110";"Phasianus colchicus";1
"111";"Petrochelidon pyrrhonota";0
"112";"Bubo virginianus";0
"113";"Melanerpes erythrocephalus";0
"114";"Zonotrichia albicollis";0
"115";"Thryothorus ludovicianus";0
"116";"Ammodramus henslowii";0
"117";"Lophodytes cucullatus";0
"118";"Strix varia";0
"119";"Coccothraustes vespertinus";0
"120";"Haliaeetus leucocephalus";0
"121";"Wilsonia canadensis";0
"122";"Spinus pinus";0
"123";"Pooecetes gramineus";0
"124";"Bartramia longicauda";0
"125";"Mniotilta varia";0
"126";"Porzana carolina";0
"127";"Colinus virginianus";0
"128";"Polioptila caerulea";0
"129";"Ammodramus savannarum";0
"130";"Eremophila alpestris";0
"131";"Mergus merganser";0
"132";"Anas discors";0
"133";"Cistothorus palustris";0
"134";"Rallus limicola";0
"135";"Cistothorus platensis";0
"136";"Ixobrychus exilis";0
"137";"Vermivora ruficapilla";0
"138";"Vireo griseus";0
"139";"Vireo flavifrons";0
"140";"Regulus satrapa";0
"141";"Corvus corax";0
"142";"Chordeiles minor";0
"143";"Catharus ustulatus";0
"144";"Parula americana";0
"145";"Podilymbus podiceps";0
"146";"Pandion haliaetus";0
"147";"Oxyura jamaicensis";0
"148";"Botaurus lentiginosus";0
"149";"Aythya collaris";0
"150";"Gavia immer";0
"151";"Dendroica pinus";0
"152";"Spizella pallida";0
"153";"Cygnus olor";1
"154";"Spiza americana";0
"155";"Dendroica cerulea";0
"156";"Gallinula chloropus";0
"157";"Tyrannus verticalis";0
"158";"Icteria virens";0
"159";"Anas crecca";0
"160";"Larus marinus";0
"161";"Hydropogne caspia";0
"162";"Vermivora chrysoptera";0
"163";"Larus argentatus";0
"164";"Sterna hirundo";0
"165";"Asio otus";0
"166";"Anas strepera";0
"167";"Anas americana";0
"168";"Dendroica discolor";0
"169";"Aegolius acadicus";0
"170";"Tyto alba";0
"171";"Oporornis formosus";0
"172";"Rallus elegans";0
"173";"Regulus calendula";0
"174";"Falco peregrinus";0
"175";"Larus delawarensis";0
"176";"Phalacrocorax auritus";0
"177";"Ardea alba";0
"178";"Nycticorax nycticorax";0
"179";"Aquila chrysaetos";0
"180";"Falco columbarius";0
"181";"Egretta thula";0
"182";"Anas clypeata";0
"183";"Caprimulgus vociferus";0
"184";"Asio flammeus";0
"185";"Dendroica dominica";0
"186";"Helmitheros vermivorum";0
"187";"Chlidonias niger";0
"188";"Loxia curvirostra";0
"189";"Anas acuta";0
"190";"Phalaropus tricolor";0
"191";"Aythya americana";0
"192";"Grus canadensis";0
"193";"Aythya affinis";0
"194";"Lanius ludovicianus";0
"195";"Cygnus buccinator";0
"196";"Sturnella neglecta";0
"197";"Loxia leucoptera";0
"198";"Streptopelia decaocto";0
"199";"Euphagus cyanocephalus";0
"200";"Corvus ossifragus";0
"201";"Mergus serrator";0
"202";"Bucephala clangula";0
"203";"Pelecanus erythrorhynchos";0
"204";"Aythya valisineria";0
"205";"Bubulcus ibis";0
"206";"Vermivora pinus x V. chrysoptera";0
"207";"Perdix perdix";1
"208";"Charadrius melodus";0
"209";"Contopus cooperi";0
"210";"Empidonax flaviventris";0
"211";"Chlidonias leucopterus";0
"212";"Vireo philadelphicus";0
"213";"Melospiza lincolnii";0
"214";"Euphagus carolinus";0
"215";"Poecile hudsonicus";0
"216";"Picoides arcticus";0
"217";"Picoides dorsalis";0
"218";"Dendroica castanea";0
"219";"Coragyps atratus";0
"220";"Dendroica striata";0
"221";"Perisoreus canadensis";0
"222";"Vermivora peregrina";0
"223";"Falcipennis canadensis";0
"224";"Aythya marila";0
"225";"Dendroica palmarum";0
"226";"Catharus bicknelli";0
"227";"Dendroica tigrina";0
"228";"Passerina caerulea";0
"229";"Wilsonia pusilla";0
"230";"Bucephala albeola";0
"231";"Myiopsitta monachus";1
"232";"Ammodramus caudacutus";0
